channel,v1,chisq,v3,v4,v5,v6,v7,nmass,m1,m2,tb,mu,oh2,v14,v15,si,v17,sv,at,ma,q3,tr
79,75,30,40,88,17,87,94,65,5,42,51,100,26,73,94,27,19,49,63,30,1,29
49,49,17,88,78,31,86,86,100,45,96,33,91,32,38,60,35,11,28,48,20,25,45
67,19,11,43,52,6,47,16,54,12,90,31,98,44,16,56,41,68,11,75,4,56,32
52,3,97,53,14,49,83,13,94,54,91,77,15,9,83,54,86,36,44,8,37,91,1
89,72,96,69,28,77,73,66,15,58,86,75,63,2,91,29,33,39,82,13,8,52,93
28,44,94,97,65,75,72,24,51,5,90,53,32,18,73,73,76,37,34,34,66,15,10
58,17,83,94,33,83,7,44,34,57,18,75,50,2,20,55,13,98,3,12,70,43,27
30,71,10,65,61,36,73,36,52,24,41,64,17,40,99,52,47,40,35,12,33,47,88
62,8,74,52,16,34,74,68,30,32,57,93,68,35,67,63,20,89,74,62,66,5,62
24,100,1,85,40,99,42,92,30,6,11,31,28,12,69,95,8,66,11,32,32,75,1
20,69,33,18,25,13,26,74,91,43,59,64,100,10,82,67,87,43,20,60,31,56,43
25,4,61,68,80,41,37,71,4,25,75,68,62,44,61,88,46,76,7,93,92,57,17
67,22,31,90,3,63,2,33,73,79,37,36,31,8,48,21,57,63,17,11,10,38,40
55,4,12,24,45,44,83,78,91,9,29,67,49,72,90,95,77,85,86,13,48,61,91
74,84,54,11,92,80,59,98,47,90,30,48,88,98,6,92,77,88,83,68,91,89,100
9,41,63,87,6,33,36,30,4,3,47,66,70,62,21,42,37,76,89,25,42,79,1
31,78,72,79,51,22,55,94,82,41,88,50,98,15,54,63,45,2,45,85,49,54,41
42,33,18,80,37,75,16,90,43,48,33,80,62,63,14,55,99,26,70,5,90,98,34
81,15,53,63,47,55,62,85,37,17,65,20,100,28,81,90,14,85,29,74,67,56,79
6,77,35,46,75,65,87,22,68,53,31,84,79,10,96,29,99,87,61,40,98,7,87
33,76,26,14,51,45,30,19,27,57,6,49,78,60,46,5,16,50,3,8,42,44,87
86,31,64,96,81,68,67,29,66,73,89,83,36,62,18,25,87,22,47,57,85,98,37
8,26,88,50,12,86,4,19,27,55,83,34,27,37,68,69,3,36,43,85,50,30,44
23,75,41,3,6,15,85,43,77,38,6,78,92,12,50,77,100,32,5,26,25,31,100
2,33,30,36,13,74,26,72,17,58,81,30,5,34,73,24,42,94,94,64,66,25,31
53,69,62,49,44,33,22,31,36,88,12,27,15,48,45,38,14,11,97,97,99,69,90
